alg_name,ins,ins_set,mean,median,min,fr,nr
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80,MSE23-w,,,,0.0,10
ecdf-multi-4,MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,MSE23-w,699.0,697.0,659,1.0,10
ecdf-multi-4,railway-transport-bf2030fvslack,MSE23-w,,,,0.0,10
ecdf-multi-4,setcover-rail2536,MSE23-w,,,,0.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66,MSE23-w,,,,0.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000454,MSE23-w,657.8,658.0,656,1.0,10
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,MSE23-w,,,,0.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00051-00000011,MSE23-w,730.7,732.0,721,1.0,10
ecdf-multi-4,pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat,MSE23-w,,,,0.0,10
ecdf-multi-4,mpe-random-net-50-5_network-8.net,MSE23-w,48694.9,48738.0,47635,1.0,10
ecdf-multi-4,causal-discovery-causal_Mushroom_7_1000,MSE23-w,227880.8,234042.0,202255,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-2_inst-003_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,relational-inference-pa-3,MSE23-w,1943.2,1835.0,1564,1.0,10
ecdf-multi-4,ramsey-ram_k4_n19.ra1,MSE23-w,1473.4,1464.0,1363,1.0,10
ecdf-multi-4,causal-discovery-causal_Link_9_100,MSE23-w,8724766.2,3242187.0,3242187,1.0,10
ecdf-multi-4,tcp-tcp_students_112_it_2,MSE23-w,3910.6666666666665,3924.0,3774,0.9,10
ecdf-multi-4,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,,,,0.0,10
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,MSE23-w,,,,0.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000300,MSE23-w,802.5,803.0,798,1.0,10
ecdf-multi-4,staff-scheduling-instance5,MSE23-w,3941.0,3956.5,3598,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-1_inst-182_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-1_inst-137_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4,MSE23-w,,,,0.0,10
ecdf-multi-4,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,MSE23-w,,,,0.0,10
ecdf-multi-4,timetabling-comp02,MSE23-w,,,,0.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,MSE23-w,344501.2,358600.0,201788,1.0,10
ecdf-multi-4,generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,MSE23-w,113298282978528.6,113348532131858.0,113015431241859,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,15336549.3,15379191.0,14979547,1.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-inf-road-usa,MSE23-w,759733707.0,759755814.5,759599040,1.0,10
ecdf-multi-4,causal-discovery-causal_Pigs_6_1000,MSE23-w,74046396.3,35110976.0,35110976,1.0,10
ecdf-multi-4,spot5-1405.wcsp.dir,MSE23-w,465346.0,465444.5,463442,1.0,10
